Name,Party,State,District,Incumbent,Winner,Raised,Spent
Sharice Davids,D,KS,03,Yes,Yes,5638552.0,5168034.0
Amanda Adkins,R,KS,03,No,No,2182382.0,2139673.0
Ron Estes,R,KS,04,Yes,Yes,1993808.0,1420188.0
Laura Lombard,D,KS,04,No,No,264459.0,258684.0
James Comer,R,KY,01,Yes,Yes,736116.0,502554.0
Brett Guthrie,R,KY,02,Yes,Yes,1412797.0,1566622.0
Hank Linderman,D,KY,02,No,No,93388.0,71122.0
Robert Lee Perry,L,KY,02,No,No,12798.0,7825.0
John Yarmuth,D,KY,03,Yes,Yes,658295.0,690226.0
Rhonda Palazzo,R,KY,03,No,No,46144.0,45668.0
Thomas Massie,R,KY,04,Yes,Yes,1457316.0,1563275.0
Alexandra Owensby,D,KY,04,No,No,156174.0,106359.0
Hal Rogers,R,KY,05,Yes,Yes,664168.0,835781.0
Andy Barr,R,KY,06,Yes,Yes,4536264.0,4316239.0
Josh Hicks,D,KY,06,No,No,2936320.0,2935615.0
Steve Scalise,R,LA,01,Yes,Yes,37262827.0,32830607.0
Cedric Richmond,D,LA,02,Yes,Yes,1628289.0,1302079.0
Clay Higgins,R,LA,03,Yes,Yes,751498.0,720424.0
Robert Jon Anderson,D,LA,03,No,No,63617.0,48015.0
Braylon Harris,D,LA,03,No,No,23006.0,15130.0
Mike Johnson,R,LA,04,Yes,Yes,1299787.0,1039393.0
Kenny Houston,D,LA,04,No,No,33677.0,33407.0
Luke Letlow,R,LA,05,No,No,1392822.0,1303757.0
Lance Harris,R,LA,05,No,No,696805.0,687833.0
Martin Lemelle,D,LA,05,No,No,173796.0,162747.0
Scotty Robinson,R,LA,05,No,No,113903.0,113835.0
Candy Christophe,D,LA,05,No,No,77101.0,131161.0
Phillip Snowden,D,LA,05,No,No,29481.0,28077.0
Matthew Hasty,R,LA,05,No,No,2654.0,2615.0
Garret Graves,R,LA,06,Yes,Yes,1743015.0,1200287.0
Dartanyon Williams,D,LA,06,No,No,111316.0,98114.0
Chellie Pingree,D,ME,01,Yes,Yes,487080.0,264790.0
Jay Allen,R,ME,01,No,No,79585.0,69853.0
Jared Golden,D,ME,02,Yes,Yes,5272142.0,5233990.0
Dale Crafts,R,ME,02,No,No,1199805.0,1196117.0
Andy Harris,R,MD,01,Yes,Yes,1468096.0,973953.0
Mia Mason,D,MD,01,No,No,2524.0,0.0
Dutch Ruppersberger,D,MD,02,Yes,Yes,1012835.0,927353.0
Johnny Ray Salling,R,MD,02,No,No,68320.0,66895.0
John Sarbanes,D,MD,03,Yes,Yes,573599.0,687299.0
Charles Anthony,R,MD,03,No,No,7798.0,6742.0
Anthony Brown,D,MD,04,Yes,Yes,1446636.0,846827.0
Steny H Hoyer,D,MD,05,Yes,Yes,4587189.0,4342255.0
Chris Palombi,R,MD,05,No,No,43462.0,42095.0
David Trone,D,MD,06,Yes,Yes,2944893.0,2959748.0
Neil Parrott,R,MD,06,No,No,315936.0,261259.0
Kweisi Mfume,D,MD,07,Yes,Yes,1014126.0,713389.0
Kimberly Klacik,R,MD,07,No,No,8296845.0,7499454.0
Amber Ivey,I,MD,07,No,No,41924.0,43394.0
Jamie Raskin,D,MD,08,Yes,Yes,2072652.0,1399252.0
Gregory Coll,R,MD,08,No,No,30876.0,27257.0
Richard E Neal,D,MA,01,Yes,Yes,4949384.0,5873122.0
James P McGovern,D,MA,02,Yes,Yes,1052549.0,1089412.0
Tracy Lovvorn,R,MA,02,No,No,26311.0,22319.0
Lori Trahan,D,MA,03,Yes,Yes,1449303.0,1232437.0
Jake Auchincloss,D,MA,04,No,Yes,2608686.0,2150904.0
Julie Hall,R,MA,04,No,No,131603.0,129378.0
Katherine Clark,D,MA,05,Yes,Yes,1788706.0,1514877.0
Caroline Colarusso,R,MA,05,No,No,148635.0,146972.0
