Name,Party,State,District,Incumbent,Winner,Raised,Spent
Matt Rosendale,R,MT,01,No,Yes,"$3,674,706","$3,488,045"
Jeff Fortenberry,R,NE,01,Yes,Yes,"$1,472,816","$2,458,330"
Kate Bolz,D,NE,01,No,No,"$1,143,509","$1,140,371"
Don Bacon,R,NE,02,Yes,Yes,"$3,749,272","$3,713,961"
Kara Eastman,D,NE,02,No,No,"$4,414,390","$4,468,006"
Adrian Smith,R,NE,03,Yes,Yes,"$1,506,473","$1,148,409"
Mark Elworth,D,NE,03,No,No,$255,$0
Dina Titus,D,NV,01,Yes,Yes,"$706,193","$587,919"
Mark Amodei,R,NV,02,Yes,Yes,"$1,048,056","$1,016,673"
Patricia Ackerman,D,NV,02,No,No,"$449,363","$449,449"
Susie Lee,D,NV,03,Yes,Yes,"$4,748,019","$4,732,009"
Dan Rodimer,R,NV,03,No,No,"$2,936,059","$2,915,216"
Steven Horsford,D,NV,04,Yes,Yes,"$3,492,372","$3,024,427"
Jim Marchant,R,NV,04,No,No,"$1,462,772","$1,419,405"
Jonathan Royce,L,NV,04,No,No,"$2,788","$1,603"
Chris Pappas,D,NH,01,Yes,Yes,"$3,205,731","$3,105,663"
Matt Mowers,R,NH,01,No,No,"$1,707,214","$1,698,761"
Ann Kuster,D,NH,02,Yes,Yes,"$2,960,033","$2,970,274"
Steve Negron,R,NH,02,No,No,"$368,177","$378,959"
Don Norcross,D,NJ,01,Yes,Yes,"$2,221,989","$1,087,264"
Claire Gustafson,R,NJ,01,No,No,"$36,520","$21,761"
Jeff Van,R,NJ,02,Yes,Yes,"$4,229,171","$4,041,493"
Amy Kennedy,D,NJ,02,No,No,"$4,984,376","$4,978,913"
Andy Kim,D,NJ,03,Yes,Yes,"$7,241,283","$6,753,262"
David Richter,R,NJ,03,No,No,"$1,473,669","$1,470,648"
Chris Smith,R,NJ,04,Yes,Yes,"$1,383,085","$1,284,522"
Stephanie Schmid,D,NJ,04,No,No,"$699,580","$658,011"
Josh Gottheimer,D,NJ,05,Yes,Yes,"$7,694,027","$3,487,964"
Frank Pallotta,R,NJ,05,No,No,"$1,972,033","$1,948,705"
Louis A,I,NJ,05,No,No,"$5,456","$5,342"
Frank Pallone,D,NJ,06,Yes,Yes,"$3,231,755","$2,021,737"
Tom Malinowski,D,NJ,07,Yes,Yes,"$7,414,403","$7,423,758"
Tom Kean,R,NJ,07,No,No,"$3,869,121","$3,775,442"
Albio Sires,D,NJ,08,Yes,Yes,"$605,810","$551,325"
Bill Pascrell,D,NJ,09,Yes,Yes,"$1,560,550","$1,795,410"
Billy Prempeh,R,NJ,09,No,No,"$44,269","$35,075"
Donald M,D,NJ,10,Yes,Yes,"$593,735","$457,252"
Mikie Sherrill,D,NJ,11,Yes,Yes,"$6,419,707","$3,733,106"
Rosemary Becchi,R,NJ,11,No,No,"$1,687,532","$1,686,236"
Bonnie Watson,D,NJ,12,Yes,Yes,"$798,439","$840,651"
Mark Razzoli,R,NJ,12,No,No,"$3,065","$1,142"
Debra Haaland,D,NM,01,Yes,Yes,"$2,246,734","$1,875,766"
Michelle Garcia,R,NM,01,No,No,"$257,294","$245,590"
Xochitl Torres,D,NM,02,Yes,No,"$8,387,337","$8,539,065"
Yvette Herrell,R,NM,02,No,Yes,"$2,805,711","$2,921,785"
Steve Jones,I,NM,02,No,No,"$9,405","$9,505"
Teresa Leger,D,NM,03,No,Yes,"$2,296,594","$2,132,010"
Alexis Johnson,R,NM,03,No,No,"$147,303","$147,303"
Lee Zeldin,R,NY,01,Yes,Yes,"$8,396,981","$8,250,116"
Nancy Goroff,D,NY,01,No,No,"$7,866,239","$7,860,977"
